"Roasted Garlic Cloves","10.0","0","2","0"
"Romaine","15.0","0","3","0"
"Salami","35.0","18","1","0"
"Sangria (Pitcher)","1010.0","0","139","0"
"Santa Fe Salad","90.0","54","8","0"
"Sauteed Mushrooms","25.0","14","2","0"
"Shrimp Salad","35.0","18","0","0"
"Smoked Salmon","70.0","36","0","0"
"Steamed Asparagus","5.0","0","1","0"
"Styles of Port Flight","140.0","0","12","0"
"Summer Tomatoes","5.0","0","1","0"
"Sun-Dried Tomatoes","15.0","0","3","0"
"Sushi","15.0","0","3","0"
"Sweet Fried Bananas","60.0","23","10","0"
"Tabouleh","70.0","63","3","1"
"Taylor Fladgate Flight","190.0","0","16","0"
"The Macallan Flight","200.0","0","0","0"
"The Rio Cosmo","290.0","0","36","0"
"The Ruler of Marula","260.0","90","11","0"
"The Samba","290.0","0","30","0"
"Tiramisu Martini","190.0","32","9","0"
"Tropical Cream Dream","310.0","54","34","0"
"Wasabi","5.0","0","1","0"
"Whole Jalapenos","5.0","0","1","0"
"Wine By The Bottle (Large Format Bottle) - Red","1270.0","0","39","0"
"Wine By The Bottle - Cabernet Sauvignon","620.0","0","19","0"
"Wine By The Bottle - Chardonnay","620.0","0","16","0"
"Wine By The Bottle - Dessert, Dry","570.0","0","44","0"
"Wine By The Bottle - Dessert, Sweet","600.0","0","51","0"
"Wine By The Bottle - Merlot","620.0","0","19","0"
"Wine By The Bottle - Pinot Grigio","610.0","0","19","0"
"Wine By The Bottle - Pinot Noir","610.0","0","17","0"
"Wine By The Bottle - Red","630.0","0","19","0"
"Wine By The Bottle - Rose","640.0","0","29","0"
"Wine By The Bottle - Sauvignon Blanc","600.0","0","15","0"
"Wine By The Bottle - Sparkling","620.0","0","19","0"
"Wine By The Bottle - White","610.0","0","19","0"
"Wine By The Glass - Dessert, Dry","140.0","0","10","0"
"Wine By The Glass - Dessert, Sweet","140.0","0","12","0"
"Wine By The Glass - Red","150.0","0","5","0"
"Wine By The Glass - Sparkling","140.0","0","5","0"
"Wine By The Glass - White","140.0","0","5","0"
"30 Gram Veggie Protein Wrap","660.0","198","87","0"
"Agave Dijon Dressing","100.0","63","5","0"
"Avo Blast Toast","470.0","243","52","0"
"Avocado Dreamsicle Smoothie","350.0","216","38","0"
"Avocado Mash","90.0","72","5","1"
"Balsamic Vinaigrette","130.0","126","2","1"
"Balsamic Vinegar","15.0","0","2","0"
"Berry Wild Smoothie","190.0","14","44","0"
"Braised Short Rib Bowl","490.0","207","50","0"
"Broccoli Cheddar Soup, Large","460.0","288","28","0"
"Broccoli Cheddar Soup, Small","230.0","144","14","0"
"Buffalo Chicken Salad","320.0","153","17","0"
"Buffalo Chicken Wrap","570.0","207","60","0"
"Caesar Salad","210.0","81","10","0"
"Caesar Shrimp Salad","250.0","90","10","0"
"Caesar Shrimp Wrap","510.0","135","54","0"
"Caesar Tofu Salad","270.0","117","12","0"
"Caesar Tofu Wrap","530.0","171","55","0"
"Caesar Wrap","470.0","135","54","0"
"Chicken Barbacoa Market Bowl","420.0","189","39","0"
"Chicken Caesar Salad","300.0","99","12","0"
"Chicken Caesar Wrap","610.0","198","55","0"
"Chipotle Cowboy Salad","510.0","243","33","0"
"Chipotle Cowboy Wrap","790.0","297","77","0"
"Chipotle Vinaigrette","140.0","135","2","1"
"Creamy Caesar Dressing","160.0","162","0","1"
"Crunchy Avocado Toast","690.0","414","50","0"
"Detox Cleanse Smoothie","70.0","0","17","0"
"Fat- Free Spicy Buffalo Dressing","5.0","0","2","0"
"Forager's Warm Bowl","480.0","207","48","0"
"Fresh Half Lemon","10.0","0","3","0"
"Hearty Hummus Toast","530.0","261","50","0"
"House-Made Buttermilk Ranch Dressing","130.0","135","1","1"
"Kale-Pesto Vinaigrette","130.0","126","0","1"
"Lemon Basil Vinaigrette","120.0","117","0","1"
"Low-Fat Spicy Avocado Dressing","15.0","9","2","0"
"Low-Fat Yogurt Cucumber Dressing","40.0","36","2","1"
"Mexican Breaded Chicken Salad","660.0","252","70","0"
"Mexican Breaded Chicken Wrap","900.0","297","110","0"
"Miso Ginger Vinaigrette","110.0","99","3","1"
"Modern Greek Crunch Salad","320.0","126","35","0"
"Modern Greek Crunch Wrap","570.0","171","79","0"
"Olive Oil","60.0","63","0","1"
"Passion Fruit Iced Tea","50.0","0","12","0"
"Peanut Butter Warrior Smoothie","290.0","90","49","0"
"Red Wine Vinegar","5.0","0","0","0"
"Roasted Turkey Health Cobb Salad","340.0","171","15","0"
"Roasted Turkey Health Cobb Wrap","590.0","225","59","0"
"Salad Topping, Ahl Tuna","45.0","0","0","0"
"Salad Topping, Almonds","80.0","63","3","1"
"Salad Topping, Apples","25.0","0","6","0"
"Salad Topping, Asian Slaw","15.0","0","3","0"
"Salad Topping, Avocado","80.0","63","4","1"
"Salad Topping, Avocado Mash","90.0","72","5","1"
"Salad Topping, Barbacoa Chicken","140.0","41","11","0"
"Salad Topping, Beef Short Ribs","130.0","63","3","0"
"Salad Topping, Black Beans","90.0","0","16","0"
"Salad Topping, Black Beans & Corn","100.0","0","19","0"
"Salad Topping, Breaded Chicken","130.0","27","17","0"
"Salad Topping, Broccoli, Raw","20.0","9","2","0"
"Salad Topping, Brown Rice","100.0","4.5","20","0"
"Salad Topping, Buffalo Chicken","120.0","23","5","0"
"Salad Topping, Carrot Edamame Slaw","40.0","23","4","0"
"Salad Topping, Carrots","20.0","0","4","0"
"Salad Topping, Celery","5.0","0","1","0"
"Salad Topping, Charred Corn","80.0","4.5","16","0"
"Salad Topping, Chicken","110.0","18","3","0"
"Salad Topping, Chickpeas","90.0","14","15","0"
"Salad Topping, Cilantro","0.0","0","0","0"
"Salad Topping, Cold Quinoa","70.0","32","9","0"
"Salad Topping, Cotija Cheese","160.0","108","0","0"
"Salad Topping, Croutons","35.0","14","4","0"
"Salad Topping, Crumbled Blue Cheese","140.0","108","1","1"
"Salad Topping, Crumbled Feta Cheese","110.0","81","2","1"
"Salad Topping, Crunchy Onions","60.0","41","5","0"
"Salad Topping, Cucumbers","10.0","0","2","0"
"Salad Topping, Dried Cranberries","80.0","0","21","0"
"Salad Topping, Edamame","60.0","23","4","0"
"Salad Topping, Egg Whites","15.0","0","0","0"
"Salad Topping, Fresh Mozzarella Cheese","70.0","54","0","1"
"Salad Topping, Furikake Shake","0.0","0","1","0"
"Salad Topping, Goat Cheese","80.0","54","1","0"
"Salad Topping, Grape Tomatoes","15.0","0","3","0"
"Salad Topping, Hard Boiled Eggs","70.0","45","1","0"
"Salad Topping, Hummus","60.0","32","4","0"
"Salad Topping, Kalamata Olives","190.0","162","9","1"
"Salad Topping, Lentil Mix","60.0","23","8","0"
"Salad Topping, Mexican Quinoa","190.0","23","34","0"
"Salad Topping, Pepper Jack Cheese","160.0","117","0","1"
"Salad Topping, Pickled Onions","20.0","0","5","0"
"Salad Topping, Pita Chips","80.0","18","13","0"
"Salad Topping, Pumpkin Seeds","130.0","99","3","1"
